name,team,position,badge
Karin Huber-Heim,Civil society (Partner Management),Civil society country ambassador,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""karin-huber-heim-57564341""><a class=""LI-simple-link"" href='https://at.linkedin.com/in/karin-huber-heim-57564341/en?trk=profile-badge'>Karin Huber-Heim</a></div>"
Elad Mintzer,Marketing & Communications,Project Manager,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""eladmi""><a class=""LI-simple-link"" href='https://il.linkedin.com/in/eladmi?trk=profile-badge'>Elad Mintzer</a></div>"
Petra Arends-Paltzer,Civil society (Partner Management),Country Ambassador + Board Member for the Business Continuity ,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""petra-arends-paltzer-11829717""><a class=""LI-simple-link"" href='https://ch.linkedin.com/in/petra-arends-paltzer-11829717?trk=profile-badge'>Petra Arends-Paltzer</a></div>"
Martin Burr,Program & Live Content,Project Manager,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""de_DE"" data-type=""vertical"" data-theme=""light"" data-vanity=""martin-burr""><a class=""LI-simple-link"" href='https://ch.linkedin.com/in/martin-burr?trk=profile-badge'>Martin Burr</a></div>"
Živilė Einikytė,Community Management,Mentor Onboarding + National Curator (Denmark),"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""zivileeinikyte""><a class=""LI-simple-link"" href='https://dk.linkedin.com/in/zivileeinikyte?trk=profile-badge'>Zivile Einikyte</a></div>"
Dovilė Motuzaitė,Community Management,Mentor Onboarding + National Curator (Lithuania),"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""dovilemotuzaite""><a class=""LI-simple-link"" href='https://lt.linkedin.com/in/dovilemotuzaite?trk=profile-badge'>Dovilė Motuzaitė</a></div>"
Vytautas Černiauskas,Community Management,Mentor Coordinator + National Curator (Lithuania),"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""vytvyt""><a class=""LI-simple-link"" href='https://lt.linkedin.com/in/vytvyt?trk=profile-badge'>Vytautas Černiauskas</a></div>"
Maria Terzi,Decision Making,National Curator,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""maria-terzi-b8718017""><a class=""LI-simple-link"" href='https://cy.linkedin.com/in/maria-terzi-b8718017?trk=profile-badge'>Maria Terzi</a></div>"
Michael Schinis,Jury,Project Manager,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""mschinis""><a class=""LI-simple-link"" href='https://uk.linkedin.com/in/mschinis?trk=profile-badge'>Michael Schinis</a></div>"
Tal Har-Lev Eidelman,Community Management,Domain Lead,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""tal-har-lev-eidelman-56963a53""><a class=""LI-simple-link"" href='https://il.linkedin.com/in/tal-har-lev-eidelman-56963a53?trk=profile-badge'>Tal Har-Lev Eidelman</a></div>"
Andrea Parmeggiani,Community Management,Mentor Coordinator,"<div class=""LI-profile-badge"" data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""parmeggiani""><a class=""LI-simple-link"" href='https://it.linkedin.com/in/parmeggiani?trk=profile-badge'>Andrea Parmeggiani</a></div>"
Shahar Altshuler,Community Management,Webinar and mentor coordinator,"<div class=""LI-profile-badge""  data-version=""v1"" data-size=""medium"" data-locale=""en_US"" data-type=""vertical"" data-theme=""light"" data-vanity=""shahar-altshuler-39a91813b""><a class=""LI-simple-link"" href='https://il.linkedin.com/in/shahar-altshuler-39a91813b?trk=profile-badge'>Shahar Altshuler</a></div>"
