name,link
Aix-Marseille Université,
APSEI - Associação Portuguesa de Segurança,
Ariel University,
Aristotle University of Thessaloniki AUTH,https://www.auth.gr/en
Arqus European University Alliance,
BCAM - Basque center for Applied Mathematics ,
Bezmialem Vakif University,
Campus Iberus,www.campusiberus.es 
Central European University,https://www.ceu.edu/
CESAER,
Escuela Superior de Arte y Diseño de Andalucía,https://www.esada.es/
European Consortium of Innovative Universities,
European University Alliance for Global Health EUGLOH,
European University of Rome,www.unier.it
Fachhochschule Technikum Wien,
Fondazione Accademia di Comunicazione,
Ghent University,
Höfði Reykjavík Peace Centre at the University of Iceland,
IAAD,www.iaad.it
IAPMEI ,http://www.een-portugal.pt/
IDIVAL (Marqués de Valdecilla Health Institute),
Iebschool,
IMEM CNR,
Imperial College London,
Institute of Entrepreneurship Development,
Instituto Politécnico de Castelo Branco,
Instituto Politécnico de Viana do Castelo,
ISM University of Management and Economics,
Istanbul Bilgi University,
Istanbul Technical University,http://www.global.itu.edu.tr/
Karelia University of Applied Sciencies,
Kaunas University of Technology,https://en.ktu.edu/
Kaunas University of Technology,www.medbs.es
Klaipeda University,
La Salle - Ramon Llull University,www.salleURL.edu
LEITAT Technological Center,
LEITAT Technological Center,
Limerick Institute Of Technology,
Link Campus University,
Linköping University,
M2C Institute at City University of Applied Sciences Bremen,
Medical University of Bialystok,
Metinvest Holding Corporate Polytechnic University ,
"Moholy-Nagy University of Art and Design Budapest, Hungary",
Mondragon University,
National and Kapodistrian University of Athens,
New York University,
Nsut,
Özyegin University,
Panhellenic Association of Graduates of GeoInformatics and Surveying Engineering,
Parintii cer schimbare,
Petre Shotadze Tbilisi Medical Academy,
Poznan Supercomputing and Networking Center,
Riinvest College,
Salesian University Institute Torino Rebaudengo (IUSTO),
Sanitary Environmental Engineering Division (SEED) at University of Salerno,
Savonia University of Applied Sciences,
"School of Journalism and Mass Media Communication, Aristotle University of Thessaloniki",
School of Values,
Spiru Haret University,www.spiruharet.ro
St. Pölten University of Applied Sciences,
Technical University of Munich,https://www.ent.wi.tum.de/en/home/
Technical University oif Denmark,
Technological University Dublin,
Tel Aviv University,
The Academic College of Tel Aviv Yaffo,
The Open University of Israel,
TIB Leibniz Information Centre for Science and Technology,https://www.tib.eu/en/
Tour4eu,https://tour4eu.eu/
UAS4EUROPE,
Universidad Autónoma de Madrid,
Universidad de Almeria,
Universidad Internacional de Valencia - VIU,
Universidad Pontificia de Comillas,
Universidade Fernando Pessoa,
Università Cattolica,
Universita Cattolica del Sacro Cuore,
Università degli Studi dell'Aquila,www.univaq.it
Università degli studi mediterranea di Reggio Calabria,
Università degli Studi Suor Orsola Benincasa,
Università della Basilicata,
Università di Pavia,
Universitat Autònoma de Barcelona,https://www.uab.cat/
"University ""St. Kliment Ohridski"" - Bitola",
University Institute of Studies on Migration - Comillas P. University,
University of Amsterdam,
University of Applied Sciences for Management & Communication,
University of Applied Sciences Upper Austria,
University of Bari,
University of Bern,
University of Bologna,
University of Bolzano / Bozen,www.unibz.it
University of Cagliari,
University of Catania ,
University of Coimbra,https://www.uc.pt/en
University of Crete,www.csd.uoc.gr
University of Deusto,
University of Medicine and Pharmacy Carol Davila,
"University of Medicine, Tirana",
University of Oslo,
University of Oxford,
University of Parma,
University of Porto,
University of Stavanger,
University of Stavanger,
University of Tartu,ut.ee/en
University of Toronto,
University of Warwick,
University Rovira i Virgili, https://www.urv.cat/en/
Uppsala University Sweden,
Varna University of Management,
Vilnius Gediminas Technical University,
Warsaw University of Life Sciences ,
YERUN ,
Zdravstveno uciliste Medical,
